cruises,Julian,Lon,Lat,Ps.nitzschia.delicatissima,Ps.nitzschia.seriata,Leptocylindricus.minimus,Leptocylindricus.danicus,Leptocylindricus.mediterraneus,Porosira,Dactyliosolen,Proboscia,Rhizosolenia.hebetata,Rhizosolenia.styliformis,Rhizosolenia.setigera,Thalasiossira,Thalassiossira.anguste.lineata,Thalasiossira.nordenskioeldii,Thalasiossira.rotula,Cylindrotheca,Chaetocerous.subtilis,Chaetocerous.socialis,Chaetocerous.debilis.curvisetus,Chaetocerous.furcaletta,Chaetocerous.mitra,Chaeotocerous..coastal.,Chaeotocerous..oceanic.,Plagiotropis,Corethron,Coscinodiscus,Bacteriastrum,Brockmanniella,Eucampia,Centric..20um,Navicula.pelagica,Navicula,Thallassionema,Synedropsis,Licmophora,Fragillariopsis,Melosira,Bacillaria,Skeletonema,Attheya,Paralia,Nitzchia.frigida,Entomoneis,Guinardia.striata,Pleurosigma.Gyrosigma,Fossula.sp.,Entomonies.sp.,Ceratulina,Detenola,Odontella.sp.,Syndrea,Ceratium.fusus,Ceratium.furca,Ceratium.Longipes,Ceratium.Tripos,Dinophysis.acuta,Dinophysis.rotundata,Dinophysis.norvegica,Dinophysis.sp.,Alexandrium.tamarense,Alexandrium.sp,Prorocentrum.minimum,P.micans,Peridinium.sp,Protoperidinium.stenii,Protoperidinium.depressum,Protoperidinium.granii,Protoperidinium.bipes,Protoperidinium.brevie,Protoperidinium.sp,Gonyaulax.sp,Scrippsiella,Heterocapsa,Karenia.mikimotii,Gymnodinium..20um,Gymnodinium..20um.1,Gyrodinium..20um,Gyrodinium..20um.1,Gyrodinium.lachryma,Gyrodinium.spirale,Gyrodinium.fusiforme,Oxytoxum,Katodinium,Azadinium.type,Sillica.Flagellate,Protoceratium.reticulatim,Torodinium,Amphidinium,Micracthatinium,Pronoctiluca.pelagica,Karlodinium,Fragilidinium,Diplopsalis,Large.unknown...unarmoured.dino,Strombidium..50um,Strombidium..50um.1,Laboea,Mesodinium,Lohmaniella,Tinntinid,Leegardiella,Certostrombidium,Didium,Strobilidium,Holotrich,Broken,Small_PNAN_per_ml,Big_PNAN_per_ml,Small_HNAN_per_ml,Big_HNAN_per_ml
Summer_2018,171,31.07706,81.45836,14333.000254587,0,0,0,0,0,0,0,0,0,0,4844908.74041523,0,3854269.43959238,1362708.50751856,98803.6252452316,0,4654526.1903768,37015.0722804242,8363047.50797006,28701.6597064288,279692.841763072,0,0,0,0,0,0,191709.137442262,0,0,38130.5263477072,0,0,0,1187612.20115982,0,0,0,5568.14458936144,0,0,424382.209541159,0,0,0,0,0,0,0,0,0,0,0,0,0,147349.911598792,0,0,0,196558.68020137,0,0,95053.9269734141,0,0,0,68548.9997027983,0,557824.751268472,0,0,161342.873607575,0,0,1065543.89183529,0,299113.332518488,0,0,654268.862502732,27699.31462813,290868.266563551,0,0,0,0,0,0,0,0,0,189867.698163117,0,4836618.22587026,0,0,2472919.96443335,0,0,1020386.87399185,0,0,0,464145.390175464,2534390.53875357,4876491.69966368,11961086.7890456,8862475.14869366,3986140.27112775
Summer_2018,178,30.00149,77.54955,4842.22981573884,16569.9104057134,0,0,0,0,0,0,0,159846.938806976,0,26458409.9995631,0,527325.420839753,208191.577537557,300471.298690978,0,43792.5851245129,0,9049407.73638887,0,0,0,0,0,0,0,0,10307315.0751358,0,27282.4623699592,0,0,0,0,524573.10230602,0,0,0,6264.16266303163,0,392143.034679687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37573.4258685891,0,3136779.59012266,0,0,0,22849.6665675994,0,371883.167512315,0,163694.558873079,0,0,113795.574805863,841218.861975231,0,0,0,0,65426.8862502732,110797.25851252,174520.959938131,0,38584.5075076344,0,0,0,144999.842923844,0,0,0,0,1566282.60553088,1391062.76407773,0,0,15524441.9989427,510631.352732257,784722.939252166,2405197.63155221,0,0,0,1434631.20599689,0,4092260.57837273,81518683.8333968,6636614.67221126,6011883.68760251
Summer_2018,179,30.00013,77.00004,444255.507208564,29825.8387302841,2771.38002541117,40108.6402121521,0,0,0,0,226245.145358589,0,0,1655343.81964187,0,0,586721.718514934,128580.060250644,0,0,173970.839717994,50834.2103425631,0,370593.015336071,101323.261287974,0,0,0,0,0,16915.5121272584,0,0,0,0,0,0,0,0,0,0,44545.1567148916,0,0,0,68775.9463880533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92970.7918780786,0,32738.9117746159,4609.79638878785,0,89410.8087760356,757096.975777708,5444.06016175009,79763.5553382635,0,0,163567.215625683,9233.10487604332,138162.426617687,18796.2182629981,0,0,94923.5288956278,0,54374.9410964414,0,0,0,0,313256.521106175,1241256.00486936,0,0,1064729.42913103,130160.933049399,0,291539.106854813,0,0,0,0,1742393.49539308,1226252.29874584,34097322.0646466,2915467.55661957,1829703.73100946
Summer_2018,180,29.99991,76.50004,50359.1900836839,139187.247407993,22566.9516354909,0,0,0,0,62451.5497909257,1316335.39117725,0,0,0,0,71908.0119326936,104095.788768779,133993.957524355,0,0,118448.231297357,0,0,298339.031213944,2080504.2984464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548462.242052102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98279.3401006852,0,0,158423.211622357,0,0,0,0,0,1348076.48223214,0,212802.926535003,0,0,24384.7660298279,448650.059720123,0,0,0,0,98140.3293754098,0,94532.1866331542,0,0,0,18984.7057791256,0,18124.9803654805,0,0,0,0,6578386.94322968,556425.105631092,0,0,927344.986662507,0,653935.782710138,728847.767137033,0,0,910086.897291294,0,1742393.49539308,1394980.81272056,32875364.2787323,3803080.63006345,1176238.1127918
Summer_2018,181,30.00157,74.50004,127834.867135505,0,0,320869.121697217,0,0,0,0,575896.733640046,0,0,551781.273213957,0,0,0,289643.504143556,0,0,0,0,0,109546.36302387,47284.1886010547,204567.267755093,0,0,0,0,0,151676.12133572,0,1563351.580256,0,0,0,0,0,0,0,8352.21688404217,0,0,0,240715.812358186,13043.6022613753,0,0,1739721.23316608,0,0,0,0,0,0,0,16470.0974508406,147349.911598792,288911.624792482,0,0,196558.68020137,1223820.15686262,0,332688.744406949,0,1618262.06818326,0,198030.443585862,402316.967721137,836737.126902708,0,180064.014760387,0,0,154436.851522243,672975.089580184,0,0,0,0,752409.191878142,9233.10487604332,116347.306625421,0,3507.68250069403,0,132892.940453879,0,181249.803654805,0,0,0,0,313256.521106175,256811.58721435,0,1631782.49418271,1785997.75209075,30037.1383960151,261574.313084055,364423.883568517,0,0,0,0,2534390.53875357,3697768.55978395,38938154.8319223,2051751.75822992,1306931.23643533
Summer_2018,183,29.9998,75.49999,127447.488750246,874891.269421668,66117.2091776665,561520.962970129,0,0,0,249806.199163703,4442631.94522321,0,0,0,0,0,0,201667.673445747,0,0,0,0,0,16315.4157695125,567410.263212656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258918.723405307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96303.8749308272,100655.268737114,0,589676.040604111,32205.7936016478,0,63369.2846489427,0,0,0,0,0,976193.314719826,0,147325.102985771,0,0,32513.0213731038,392568.802255108,0,89733.9997555465,0,0,163567.215625683,27699.31462813,43630.2399845327,23495.2728287477,0,78214.141007622,56954.1173373767,0,0,0,0,0,189867.698163117,4228963.03493336,620628.00243468,0,1359818.74515226,5495377.69874078,0,392361.469626083,0,0,0,6370608.28103906,0,3009588.76476986,2060389.03684621,15156976.3829752,1696706.52885237,522772.494574132
Summer_2017,216,18.16632,74.36648,5736.98935130797,0,824.003800459206,0,0,0,0,0,43833.9251164158,373434.357585023,0,244429.838996467,81870.8583098343,0,0,3503.2951882447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3806.77671353027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352519.009055188,68249.8753049768,0,643781.695730033,79692.4844226876,0,0,161722.513181123,0,200812.424284086,0,7131319.40641063,0,0,349856.289832202,1107171.00555443,53875.4814975512,164822.636018763,445459.48420792,51034.5224957464,0,6448.41172528442,36033.2044172009,30471.2494388178,0,0,0,0,63805.9845044244,0,55802.062761506,0,27187.1977965512,0,6615735.44693469,0,543927.498060902,389106.243692226,68985.6245089904,0,457449.191232568,0,0,0,0,864303.613195593,5126019.78371079,8036722.36120546,2563836.22367832,2025743.41647476
Summer_2017,215,16.83342,76.0001,24669.0542106243,0,0,0,0,0,0,0,0,0,0,167241.468787056,0,0,0,1401.31807529788,0,0,0,0,0,611997.609565983,0,0,48977.0643012903,0,0,0,7585.58558563751,4226.94653852421,0,13958.1812829443,0,0,0,69701.4958734299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337836.882759635,0,321890.847865016,0,0,0,136842.126537873,0,0,0,0,0,0,1533412.67458369,71430.3874551247,51426.5959749352,10988.1757345842,296972.989471947,0,0,6448.41172528442,0,109696.497979744,0,0,0,0,0,8574.1428592066,27901.031380753,0,0,0,2365753.49842918,1151507.6451084,14142114.9495835,183108.820561047,129348.045954357,0,0,0,0,0,0,2016708.43078972,2466763.34515152,6791265.38710052,870543.591262281,588119.056395896
Summer_2017,195,21.00184,76.36612,6119.45530806183,0,0,0,0,0,0,0,0,0,0,77188.3702094105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.73663463105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47774.9127134837,0,371412.516767327,0,0,0,118181.836555436,0,0,0,131520.234954294,0,0,588056.316952,428582.324730748,56324.3670201671,120869.933080426,763644.83007072,0,0,0,21619.9226503206,82272.3734848079,0,0,0,10929.3406155877,21268.6615014748,0,0,33958.4730517926,0,0,2386689.37009669,164501.092158343,0,68665.8077103928,17246.4061272476,0,57181.1489040709,0,0,0,0,3457214.45278237,4315647.6250435,19551324.5746284,1502114.43198197,5162378.38391955
Summer_2017,196,26.00176,75.50024,573.698935130797,0,0,0,0,0,0,0,0,0,0,38594.1851047053,0,0,0,2101.97711294682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733.39199503647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221024.867398188,0,0,0,423022.810866226,0,0,86662.9205790429,398462.422113438,2781555.92422994,0,6220.09666081242,0,468562.323329534,0,4939315.49050572,0,0,66993.757627443,250006.356092937,12244.4276130798,43952.7029383368,21212.3563908533,0,0,0,36033.2044172009,9141.37483164533,0,0,16082.3128860567,10929.3406155877,0,0,55802.062761506,0,0,7813837.90316477,3621905.79848007,2632017.47453348,3807492.48642631,228886.025701309,8623.2030636238,760008.085277322,1429528.72260177,409699.024945462,191008.833338259,2060354.83334415,0,5762024.08797062,5387430.15747444,19551324.5746284,2191721.51211915,1699010.60736593
